spend_multiplier,channel,incremental_outcome_ci_hi,incremental_outcome_ci_lo,incremental_outcome_mean,spend,weekly_spend
1.2,TikTok,579308.875,523707.84375,551375.3125,707089.8,3535.449
1.21,Facebook,364561.5625,313911.34375,339698.75,535687.56,2678.4377
1.21,Google Ads,482602.28125,412926.8125,446045.3125,368014.97,1840.0748
1.21,TikTok,582872.1875,526761.5625,554676.125,712982.25,3564.9111
1.22,Facebook,366641.46875,315508.875,341576.25,540114.75,2700.5737
1.22,Google Ads,484986.875,414596.3125,448166.0625,371056.4,1855.282
1.22,TikTok,586424.9375,529881.3125,557964.25,718874.6,3594.373
1.23,Facebook,368712.875,317166.84375,343445.375,544541.94,2722.7097
1.23,Google Ads,487414.0625,416254.71875,450271.53125,374097.84,1870.4893
1.23,TikTok,589947.1875,533048.125,561235.4375,724767.06,3623.8352
1.24,Facebook,370870.4375,318847.84375,345304.0625,548969.06,2744.8452
1.24,Google Ads,489872.5625,418067.4375,452364.5625,377139.3,1885.6965
1.24,TikTok,593365.75,536153.9375,564494.4375,730659.44,3653.297
1.25,Facebook,372975.375,320557.6875,347154.40625,553396.25,2766.9812
1.25,Google Ads,492225.71875,419835.1875,454442.5625,380180.75,1900.9038
1.25,TikTok,596689.125,539227.125,567739.4375,736551.9,3682.7593
1.26,Facebook,374915.65625,322206.625,348994.84375,557823.44,2789.1172
1.26,Google Ads,494622.6875,421601.4375,456507.03125,383222.2,1916.111
1.26,TikTok,600232.625,542300.3125,570970.1875,742444.3,3712.2217
1.27,Facebook,377024.4375,323881.34375,350826.375,562250.56,2811.253
1.27,Google Ads,496842.5,423400.0,458557.8125,386263.62,1931.3181
1.27,TikTok,603675.875,545333.125,574186.125,748336.7,3741.6833
1.28,Facebook,379103.03125,325546.0625,352648.03125,566677.75,2833.3887
1.28,Google Ads,499385.9375,425106.125,460594.5625,389305.06,1946.5253
1.28,TikTok,607047.125,548415.625,577389.875,754229.1,3771.1455
1.29,Facebook,381112.0,327127.90625,354461.25,571104.94,2855.5247
1.29,Google Ads,501716.625,426803.9375,462619.03125,392346.5,1961.7325
1.29,TikTok,610491.5625,551459.125,580579.875,760121.5,3800.6074
1.3,Facebook,383098.03125,328812.71875,356265.78125,575532.06,2877.6604
1.3,Google Ads,503997.90625,428405.96875,464630.09375,395387.97,1976.9398
1.3,TikTok,613956.9375,554523.1875,583755.8125,766013.94,3830.0696
1.31,Facebook,385051.71875,330534.90625,358061.21875,579959.25,2899.7961
1.31,Google Ads,506158.90625,430091.71875,466627.96875,398429.4,1992.147
1.31,TikTok,617326.0,557446.6875,586918.5,771906.3,3859.5315
1.32,Facebook,386984.21875,332132.53125,359848.5625,584386.44,2921.9321
1.32,Google Ads,508349.875,431774.625,468613.0625,401470.88,2007.3544
1.32,TikTok,620767.875,560334.0625,590068.125,777798.8,3888.9941
1.33,Facebook,388909.6875,333816.53125,361626.09375,588813.6,2944.068
1.33,Google Ads,510625.0625,433374.71875,470584.71875,404512.3,2022.5615
1.33,TikTok,624097.5625,563348.9375,593204.375,783691.25,3918.4563
1.34,Facebook,390863.8125,335361.71875,363395.59375,593240.8,2966.204
1.34,Google Ads,512852.09375,435043.90625,472544.5,407553.78,2037.7689
1.34,TikTok,627395.9375,566274.9375,596328.25,789583.6,3947.9182
1.35,Facebook,392921.8125,336800.0625,365156.75,597667.94,2988.3396
1.35,Google Ads,515282.03125,436613.5625,474491.625,410595.22,2052.976
1.35,TikTok,630739.0,569093.875,599438.625,795476.06,3977.3804
1.36,Facebook,394969.78125,338381.4375,366908.71875,602095.1,3010.4756
1.36,Google Ads,517608.0625,438191.59375,476424.875,413636.66,2068.1833
1.36,TikTok,634074.875,571904.5,602535.3125,801368.44,4006.8423
1.37,Facebook,396895.96875,339937.84375,368652.625,606522.3,3032.6116
1.37,Google Ads,519863.34375,439806.84375,478347.4375,416678.1,2083.3904
1.37,TikTok,637391.0625,574850.625,605620.8125,807260.9,4036.3044
1.3800000000000001,Facebook,398916.40625,341418.84375,370388.34375,610949.44,3054.747
1.3800000000000001,Google Ads,522060.90625,441255.40625,480257.78125,419719.53,2098.5977
1.3800000000000001,TikTok,640549.25,577738.8125,608691.75,813153.25,4065.7664
1.3900000000000001,Facebook,400888.1875,343020.46875,372115.0625,615376.6,3076.883
1.3900000000000001,Google Ads,524210.0625,442804.5625,482155.5625,422760.97,2113.805
1.3900000000000001,TikTok,643684.5625,580540.75,611751.375,819045.7,4095.2285
1.4000000000000001,Facebook,402870.25,344609.28125,373834.65625,619803.8,3099.019
1.4000000000000001,Google Ads,526339.25,444264.15625,484041.78125,425802.44,2129.0122
1.4000000000000001,TikTok,646858.0,583346.0625,614798.3125,824938.06,4124.6904
1.41,Facebook,404657.3125,346112.6875,375545.25,624230.94,3121.1548
1.41,Google Ads,528508.4375,445676.3125,485915.875,428843.88,2144.2195
1.41,TikTok,650041.875,586171.9375,617833.625,830830.5,4154.1523
1.42,Facebook,406461.21875,347560.28125,377248.5625,628658.1,3143.2905
1.42,Google Ads,530905.0,447214.03125,487778.71875,431885.3,2159.4265
1.42,TikTok,653311.375,589009.875,620854.875,836722.9,4183.6143
1.43,Facebook,408321.1875,349052.46875,378943.46875,633085.3,3165.4265
1.43,Google Ads,532981.6875,448659.40625,489629.0,434926.75,2174.6338
1.43,TikTok,656544.8125,591820.5625,623865.0,842615.3,4213.0767
1.44,Facebook,410221.09375,350429.96875,380629.96875,637512.5,3187.5625
1.44,Google Ads,535127.5625,450081.0,491468.875,437968.22,2189.841
1.44,TikTok,659796.0,594607.1875,626863.0625,848507.8,4242.539
1.45,Facebook,412109.15625,351837.53125,382308.34375,641939.7,3209.6985
1.45,Google Ads,537231.3125,451431.625,493297.375,441009.7,2205.0483
1.45,TikTok,662972.375,597468.5625,629850.0,854400.2,4272.001
1.46,Facebook,414139.09375,353392.78125,383980.28125,646366.8,3231.834
1.46,Google Ads,539454.125,452639.15625,495114.71875,444051.12,2220.2556
1.46,TikTok,666086.375,600342.1875,632822.8125,860292.6,4301.463
1.47,Facebook,415966.03125,354961.875,385643.15625,650794.0,3253.97
1.47,Google Ads,541729.125,454098.78125,496920.1875,447092.56,2235.463
1.47,TikTok,669333.6875,603083.5625,635784.25,866185.0,4330.925
1.48,Facebook,417799.09375,356487.5625,387299.59375,655221.2,3276.106
1.48,Google Ads,544101.8125,455430.5625,498714.8125,450134.0,2250.67
1.48,TikTok,672561.0625,605866.375,638733.875,872077.44,4360.387
1.49,Facebook,419621.65625,357852.375,388947.375,659648.3,3298.2415
1.49,Google Ads,546389.5625,456730.5,500497.59375,453175.44,2265.8772
1.49,TikTok,675604.3125,608533.875,641672.875,877969.8,4389.849
1.5,Facebook,421560.15625,359253.875,390588.25,664075.5,3320.3774
1.5,Google Ads,548625.3125,457911.03125,502271.6875,456216.88,2281.0845
1.5,TikTok,678686.1875,611204.0,644599.3125,883862.25,4419.311
1.51,Facebook,423336.125,360642.375,392220.8125,668502.7,3342.5134
1.51,Google Ads,550756.0,459310.65625,504033.03125,459258.34,2296.2917
1.51,TikTok,681852.9375,613894.9375,647515.5,889754.7,4448.7734
1.52,Facebook,425213.75,362040.125,393847.125,672929.8,3364.6492
1.52,Google Ads,552837.375,460598.3125,505784.96875,462299.78,2311.499
1.52,TikTok,684953.0625,616544.1875,650418.375,895647.06,4478.2354
1.53,Facebook,426950.15625,363459.875,395465.125,677357.0,3386.785
1.53,Google Ads,554922.0,461869.25,507526.4375,465341.22,2326.706
1.53,TikTok,688090.875,619212.6875,653310.5625,901539.5,4507.6973
1.54,Facebook,428764.3125,364887.53125,397075.9375,681784.2,3408.921
1.54,Google Ads,556854.3125,463130.1875,509257.96875,468382.66,2341.9133
1.54,TikTok,691243.875,621849.8125,656190.5,907431.9,4537.159
1.55,Facebook,430581.5625,366220.1875,398679.6875,686211.3,3431.0566
1.55,Google Ads,559086.25,464390.5,510977.75,471424.1,2357.1204
1.55,TikTok,694466.75,624483.3125,659061.125,913324.3,4566.6216
1.56,Facebook,432396.40625,367519.0,400276.0625,690638.5,3453.1924
1.56,Google Ads,561021.875,465643.53125,512688.5625,474465.56,2372.328
1.56,TikTok,697614.6875,627108.8125,661919.1875,919216.7,4596.0835
1.57,Facebook,434215.59375,368863.5,401865.75,695065.7,3475.3284
1.57,Google Ads,563131.4375,466857.25,514388.28125,477507.03,2387.5352
1.57,TikTok,700641.875,629722.0625,664766.5625,925109.2,4625.546
1.58,Facebook,436056.71875,370118.25,403448.1875,699492.9,3497.4644
1.58,Google Ads,565297.1875,468024.875,516077.84375,480548.47,2402.7424
1.58,TikTok,703709.75,632325.6875,667604.5,931001.6,4655.0083
1.59,Facebook,437886.09375,371421.625,405023.375,703920.06,3519.6003
1.59,Google Ads,567443.5625,469291.6875,517758.5625,483589.9,2417.9495
1.59,TikTok,706800.5,634918.0625,670429.625,936894.0,4684.47
1.6,Facebook,439602.75,372876.46875,406591.65625,708347.2,3541.7358
1.6,Google Ads,569438.125,470511.96875,519428.96875,486631.34,2433.1567
1.6,TikTok,709882.1875,637490.3125,673244.0625,942786.44,4713.932
1.61,Facebook,441468.21875,374135.125,408152.3125,712774.4,3563.8718
1.61,Google Ads,571482.75,471699.3125,521089.71875,489672.8,2448.364
1.61,TikTok,712950.1875,639932.4375,676048.1875,948678.8,4743.394
1.62,Facebook,443280.78125,375519.125,409707.40625,717201.56,3586.0078
1.62,Google Ads,573541.4375,472982.4375,522740.34375,492714.25,2463.5713
1.62,TikTok,716042.4375,642498.6875,678841.125,954571.25,4772.8564
1.6300000000000001,Facebook,445064.21875,376788.6875,411254.15625,721628.7,3608.1436
1.6300000000000001,Google Ads,575751.75,474107.96875,524381.0,495755.7,2478.7783
1.6300000000000001,TikTok,719062.25,645179.6875,681623.3125,960463.6,4802.3184
1.6400000000000001,Facebook,446931.5,378086.625,412795.375,726055.9,3630.2793
1.6400000000000001,Google Ads,577910.9375,475345.375,526012.8125,498797.12,2493.9856
1.6400000000000001,TikTok,722025.1875,647743.75,684395.5,966356.06,4831.7803
1.6500000000000001,Facebook,448699.28125,379406.5,414329.5,730483.06,3652.4153
1.6500000000000001,Google Ads,579800.5625,476399.1875,527635.0,501838.56,2509.1929
1.6500000000000001,TikTok,724987.5,650367.0625,687157.0625,972248.44,4861.242
1.6600000000000001,Facebook,450377.0,380733.125,415856.78125,734910.2,3674.551
1.6600000000000001,Google Ads,581650.6875,477546.5625,529248.0625,504880.0,2524.4
1.6600000000000001,TikTok,727949.1875,652765.25,689909.125,978140.9,4890.7046
1.67,Facebook,452120.96875,382078.15625,417377.46875,739337.4,3696.6868
1.67,Google Ads,583619.6875,478685.6875,530851.6875,507921.47,2539.6074
1.67,TikTok,730901.6875,655275.125,692648.3125,984033.25,4920.166
1.68,Facebook,453927.78125,383393.53125,418892.0,743764.56,3718.8228
1.68,Google Ads,585645.625,479818.6875,532446.5625,510962.9,2554.8145
1.68,TikTok,733818.125,657727.875,695379.5625,989925.7,4949.6284
1.69,Facebook,455601.96875,384694.84375,420399.15625,748191.75,3740.9587
1.69,Google Ads,587548.125,480811.6875,534032.9375,514004.38,2570.022
1.69,TikTok,736838.0,660204.3125,698100.375,995818.2,4979.091
1.7,Facebook,457334.125,386006.21875,421900.6875,752618.94,3763.0947
1.7,Google Ads,589445.875,481660.3125,535609.0625,517045.8,2585.229
1.7,TikTok,739848.875,662550.9375,700810.1875,1.00171056e+06,5008.5527
1.71,Facebook,459059.9375,387182.5625,423395.0625,757046.06,3785.2302
1.71,Google Ads,591452.75,482769.5625,537176.6875,520087.28,2600.4365
1.71,TikTok,742822.875,664942.1875,703509.6875,1.007603e+06,5038.015
1.72,Facebook,460772.4375,388532.4375,424883.6875,761473.25,3807.3662
1.72,Google Ads,593344.125,483906.5,538735.375,523128.72,2615.6436
1.72,TikTok,745822.9375,667454.3125,706202.25,1.0134954e+06,5067.477
1.73,Facebook,462487.8125,389788.84375,426365.34375,765900.44,3829.5022
1.73,Google Ads,595147.375,484969.9375,540284.6875,526170.1,2630.8506
1.73,TikTok,748700.375,669835.6875,708880.25,1.0193878e+06,5096.939
1.74,Facebook,464182.5625,391170.75,427841.59375,770327.56,3851.6377
1.74,Google Ads,596971.625,486063.5,541826.4375,529211.6,2646.058
1.74,TikTok,751690.4375,672204.0,711549.0625,1.0252802e+06,5126.401
1.75,Facebook,465749.15625,392564.78125,429311.46875,774754.75,3873.7737
1.75,Google Ads,598846.125,487033.15625,543358.625,532253.06,2661.2654
1.75,TikTok,754660.875,674587.5,714211.0625,1.0311726e+06,5155.8633
1.76,Facebook,467504.625,393866.15625,430774.28125,779181.94,3895.9097
1.76,Google Ads,601003.0625,488118.0625,544883.9375,535294.5,2676.4724
1.76,TikTok,757539.0625,676913.0,716861.4375,1.03706506e+06,5185.325
1.77,Facebook,469076.21875,395036.28125,432231.03125,783609.06,3918.0454
1.77,Google Ads,602854.1875,489109.84375,546399.0,538335.94,2691.6797
1.77,TikTok,760348.5625,679251.75,719504.8125,1.04295744e+06,5214.787
1.78,Facebook,470657.625,396328.84375,433683.8125,788036.25,3940.1812
1.78,Google Ads,604808.0,489986.34375,547907.125,541377.4,2706.887
1.78,TikTok,763180.0,681595.0625,722133.125,1.0488499e+06,5244.2495
1.79,Facebook,472405.46875,397690.4375,435128.28125,792463.44,3962.3171
1.79,Google Ads,606738.5625,491034.46875,549406.0,544418.8,2722.094
1.79,TikTok,766043.8125,684011.625,724755.3125,1.0547422e+06,5273.7114
1.8,Facebook,474158.59375,398753.3125,436567.53125,796890.56,3984.453
1.8,Google Ads,608647.625,492079.84375,550897.25,547460.25,2737.3013
1.8,TikTok,768933.5625,686468.6875,727368.25,1.0606346e+06,5303.1733
1.81,Facebook,475778.5625,399941.75,438000.21875,801317.75,4006.5889
1.81,Google Ads,610609.3125,493164.34375,552379.625,550501.7,2752.5085
1.81,TikTok,771734.9375,688847.0625,729971.0625,1.0665271e+06,5332.6357
1.82,Facebook,477489.40625,401212.59375,439427.5,805744.94,4028.7246
1.82,Google Ads,612572.625,494273.65625,553854.625,553543.2,2767.7158
1.82,TikTok,774589.0,691033.0,732564.5625,1.0724195e+06,5362.0977
1.83,Facebook,479104.1875,402475.0,440849.15625,810172.1,4050.8606
1.83,Google Ads,614533.5625,495333.1875,555320.6875,556584.6,2782.923
1.83,TikTok,777484.0,693319.875,735148.625,1.078312e+06,5391.56
1.84,Facebook,480814.34375,403605.96875,442264.53125,814599.3,4072.9966
1.84,Google Ads,616419.6875,496309.4375,556779.75,559626.06,2798.1304
1.84,TikTok,780258.1875,695508.125,737723.5625,1.0842044e+06,5421.022
1.85,Facebook,482487.03125,404842.5,443674.0625,819026.44,4095.132
1.85,Google Ads,618344.75,497419.1875,558230.8125,562667.5,2813.3374
1.85,TikTok,783114.5,697737.9375,740288.375,1.0900968e+06,5450.484
1.86,Facebook,484112.6875,406048.40625,445077.53125,823453.6,4117.268
1.86,Google Ads,620261.875,498524.4375,559672.875,565708.94,2828.5447
1.86,TikTok,786011.75,700079.3125,742845.6875,1.0959892e+06,5479.9463
1.87,Facebook,485714.25,407189.375,446476.3125,827880.8,4139.4043
1.87,Google Ads,622084.8125,499311.3125,561108.25,568750.4,2843.752
1.87,TikTok,788764.3125,702456.1875,745393.75,1.1018816e+06,5509.408
1.8800000000000001,Facebook,487294.96875,408222.5,447868.5,832307.94,4161.5396
1.8800000000000001,Google Ads,623884.3125,500329.9375,562536.9375,571791.8,2858.959
1.8800000000000001,TikTok,791667.75,704675.0625,747931.75,1.107774e+06,5538.87
1.8900000000000001,Facebook,488713.5625,409373.09375,449254.875,836735.1,4183.676
1.8900000000000001,Google Ads,625626.875,501465.90625,563956.1875,574833.25,2874.1663
1.8900000000000001,TikTok,794535.0625,707047.25,750460.6875,1.1136664e+06,5568.332
1.9000000000000001,Facebook,490322.6875,410476.4375,450636.96875,841162.3,4205.8115
1.9000000000000001,Google Ads,627433.0,502444.25,565368.0,577874.75,2889.3738
1.9000000000000001,TikTok,797373.0,709332.125,752981.6875,1.1195589e+06,5597.7944
1.9100000000000001,Facebook,491949.5,411698.125,452012.75,845589.44,4227.9473
1.9100000000000001,Google Ads,629131.0,503317.875,566772.0625,580916.2,2904.581
1.9100000000000001,TikTok,800096.5,711541.375,755493.8125,1.1254512e+06,5627.2563
1.92,Facebook,493578.40625,412879.40625,453383.09375,850016.6,4250.083
1.92,Google Ads,630757.1875,504085.96875,568170.0,583957.6,2919.788
1.92,TikTok,802805.5,713747.125,757996.5625,1.1313436e+06,5656.7183
1.93,Facebook,495172.625,413963.5625,454748.0,854443.8,4272.219
1.93,Google Ads,632586.0,504956.03125,569558.875,586999.06,2934.9954
1.93,TikTok,805387.9375,715983.5,760491.0,1.1372361e+06,5686.1807
1.94,Facebook,496824.46875,415081.25,456107.03125,858871.0,4294.355
1.94,Google Ads,634328.8125,505775.40625,570942.1875,590040.5,2950.2024
1.94,TikTok,807958.1875,718278.875,762976.0625,1.1431285e+06,5715.6426
1.95,Facebook,498369.40625,416080.84375,457461.15625,863298.2,4316.4907
1.95,Google Ads,636031.6875,506677.625,572317.4375,593082.0,2965.41
1.95,TikTok,810639.875,720504.875,765454.0,1.149021e+06,5745.105
1.96,Facebook,499896.96875,417174.75,458809.90625,867725.3,4338.6265
1.96,Google Ads,637904.875,507488.71875,573685.9375,596123.44,2980.6172
1.96,TikTok,813367.75,722586.4375,767920.4375,1.1549134e+06,5774.567
1.97,Facebook,501385.78125,418356.84375,460152.34375,872152.5,4360.7627
1.97,Google Ads,639583.6875,508394.96875,575047.5625,599164.9,2995.8245
1.97,TikTok,816208.6875,724888.375,770380.8125,1.1608058e+06,5804.029
1.98,Facebook,502960.09375,419433.3125,461491.375,876579.7,4382.8984
1.98,Google Ads,641515.3125,509374.3125,576400.6875,602206.3,3011.0315
1.98,TikTok,818990.0625,727062.6875,772832.25,1.1666981e+06,5833.4907
1.99,Facebook,504562.59375,420498.0625,462823.21875,881006.8,4405.034
1.99,Google Ads,643439.125,510386.78125,577748.25,605247.75,3026.2388
1.99,TikTok,821744.6875,729164.375,775274.0625,1.1725906e+06,5862.953
2.0,Facebook,506058.125,421601.625,464151.125,885434.0,4427.17
2.0,Google Ads,645293.0625,511386.40625,579087.6875,608289.2,3041.446
2.0,TikTok,824578.875,731362.25,777708.625,1.178483e+06,5892.415
2.0100000000000002,Facebook,507528.46875,422773.90625,465473.46875,889861.2,4449.306
2.0100000000000002,Google Ads,647129.9375,512235.03125,580421.5,611330.6,3056.653
2.0100000000000002,TikTok,827327.0625,733499.3125,780135.0625,1.1843754e+06,5921.877
2.02,Facebook,509164.875,423718.28125,466790.375,894288.3,4471.4414
2.02,Google Ads,648925.5625,512947.5,581746.6875,614372.06,3071.8604
2.02,TikTok,830025.4375,735754.5,782553.0625,1.1902679e+06,5951.3394
2.0300000000000002,Facebook,510826.71875,424753.53125,468103.28125,898715.5,4493.5776
2.0300000000000002,Google Ads,650514.75,513972.125,583067.375,617413.5,3087.0674
2.0300000000000002,TikTok,832696.8125,737993.1875,784962.375,1.1961602e+06,5980.8013
2.04,Facebook,512449.0625,425775.0,469410.5,903142.7,4515.7134
2.04,Google Ads,652455.375,514986.46875,584378.6875,620454.94,3102.2747
2.04,TikTok,835333.0625,740051.3125,787362.9375,1.2020526e+06,6010.263
2.05,Facebook,513967.71875,426850.375,470712.03125,907569.8,4537.849
2.05,Google Ads,654116.125,515675.09375,585685.0,623496.4,3117.482
2.05,TikTok,837928.125,742111.5,789756.4375,1.207945e+06,6039.725
2.06,Facebook,515483.5,427844.46875,472009.25,911997.0,4559.985
2.06,Google Ads,655835.25,516424.5,586984.8125,626537.9,3132.6895
2.06,TikTok,840651.375,744244.6875,792142.3125,1.2138375e+06,6069.1875
2.07,Facebook,517045.09375,428890.8125,473300.6875,916424.2,4582.121
2.07,Google Ads,657313.1875,517298.65625,588276.625,629579.3,3147.8965
2.07,TikTok,843325.6875,746358.5,794518.625,1.2197299e+06,6098.6494
2.08,Facebook,518685.59375,429911.71875,474587.78125,920851.3,4604.2563
2.08,Google Ads,658917.25,518192.4375,589562.875,632620.75,3163.1038
2.08,TikTok,846052.625,748481.6875,796888.375,1.2256222e+06,6128.1113
2.09,Facebook,520240.65625,430994.65625,475869.375,925278.5,4626.3926
2.09,Google Ads,660551.25,519089.28125,590843.25,635662.2,3178.311
2.09,TikTok,848749.125,750597.4375,799249.125,1.2315146e+06,6157.573
2.1,Facebook,521719.0625,432079.34375,477147.53125,929705.7,4648.5283
2.1,Google Ads,662320.1875,519974.3125,592117.0625,638703.6,3193.518
2.1,TikTok,851226.9375,752736.5625,801604.5,1.2374071e+06,6187.0356
2.11,Facebook,523207.625,433137.25,478419.40625,934132.8,4670.664
2.11,Google Ads,664169.375,520848.34375,593383.25,641745.06,3208.7253
2.11,TikTok,853870.8125,754916.6875,803948.125,1.2432995e+06,6216.4976
2.12,Facebook,524692.1875,434186.4375,479686.4375,938560.0,4692.8
2.12,Google Ads,665932.9375,521708.03125,594643.4375,644786.5,3223.9326
2.12,TikTok,856516.5625,756947.125,806286.875,1.2491919e+06,6245.9595
2.13,Facebook,526171.5,435227.03125,480949.59375,942987.25,4714.936
2.13,Google Ads,667555.75,522510.03125,595897.625,647828.0,3239.14
2.13,TikTok,859194.875,758966.625,808615.875,1.2550845e+06,6275.4224
2.14,Facebook,527688.3125,436271.1875,482207.59375,947414.44,4737.0723
2.14,Google Ads,669208.8125,523312.84375,597145.875,650869.44,3254.3472
2.14,TikTok,861813.5625,761006.125,810937.875,1.2609769e+06,6304.8843
2.15,Facebook,529199.625,437262.625,483461.15625,951841.56,4759.208
2.15,Google Ads,670769.6875,524108.1875,598388.875,653910.9,3269.5544
2.15,TikTok,864435.125,762967.625,813252.125,1.2668692e+06,6334.346
2.16,Facebook,530706.125,438258.625,484710.375,956268.75,4781.3438
2.16,Google Ads,672378.1875,524905.375,599624.8125,656952.4,3284.762
2.16,TikTok,867123.0,764911.5625,815559.75,1.2727618e+06,6363.8086
2.17,Facebook,532110.75,439207.625,485953.4375,960695.94,4803.4795
2.17,Google Ads,674085.25,525697.75,600852.75,659993.8,3299.969
2.17,TikTok,869785.75,766857.4375,817858.0,1.2786541e+06,6393.2705
2.18,Facebook,533509.0,440178.625,487192.75,965123.06,4825.615
2.18,Google Ads,675692.0625,526485.4375,602077.3125,663035.25,3315.1763
2.18,TikTok,872356.5625,768778.0,820150.625,1.2845465e+06,6422.7324
2.19,Facebook,534985.875,441128.59375,488428.09375,969550.25,4847.7515
2.19,Google Ads,677292.375,527229.25,603295.4375,666076.7,3330.3835
2.19,TikTok,874867.625,770793.5625,822436.625,1.2904389e+06,6452.1943
